Row,Status,Error,Preview
2,✅ Success,,"A WPS qualified per ASME IX uses GTAW root pass on P-No.8 (316L SS), 2G position..."
3,✅ Success,,"During P91 production welding per SAES-W-011, preheat is found at 175°C at tacki..."
4,✅ Success,,A welder's WPQ was last verified 7 months ago. The QC Manager states it is still...
5,✅ Success,,"An RT film of a butt weld (ASME B31.3 Normal Fluid Service, 12 mm wall) shows a ..."
6,✅ Success,,SAES-W-011 requires PMI for all P5 chrome-moly filler materials. An E9018-B3 ele...
7,✅ Success,,A repair excavation PT reveals a defect extending to 14 mm depth (70% through-wa...
8,✅ Success,,"A welder qualifies in 6G position, SMAW, 25 mm carbon steel pipe per ASME IX. A ..."
9,✅ Success,,Visual inspection of a completed socket weld (ASME B31.3) shows a 5 mm fillet on...
10,✅ Success,,PWHT records for a P22 nozzle weld show 720°C for 60 minutes. SAES-W-014 require...
11,✅ Success,,A weld map shows W-42 was executed using WPS-CS-04. An audit reveals WPS-CS-04 w...
12,✅ Success,,The MTC for API 5L X65 shows CE = 0.43. The approved WPS specifies a maximum pre...
13,✅ Success,,An RT film of a 16 mm girth weld (ASME B31.3 Normal Fluid Service) shows a 3.5 m...
14,✅ Success,,A low-hydrogen E7018 electrode has been in the welder's quiver for 3 hours 55 mi...
15,✅ Success,,"A welder qualifies 6G SMAW on 2-inch NPS (60.3 mm OD), 25 mm wall, P-No.1 carbon..."
16,✅ Success,,"During FCAW of A36 structural steel per AWS D1.1, the interpass temperature is 3..."
17,✅ Success,,"Visual inspection of a completed pressure pipe weld (ASME B31.3, 8 mm wall) show..."
18,✅ Success,,An E316L electrode batch shows delta ferrite = 3 FN on the MTC. SAES-W-011 requi...
19,✅ Success,,"For ASTM A516 Gr.70 (C=0.28, Mn=1.0, no significant other alloys), CE = C + Mn/6..."
20,✅ Success,,"After PWHT of P5B (9Cr-1Mo) pipe for sour service, a hardness survey shows HV10 ..."
21,✅ Success,,"During MPI of a structural fillet weld per ASME V Article 7, the AC yoke lifts e..."
22,✅ Success,,"During an audit, the heat numbers on three P22 pipe spools do not match the MTCs..."
23,✅ Success,,A completed weld in ASME B31.3 Category D Fluid Service (gauge pressure <150 psi...
24,✅ Success,,An E7018 lot certification meets AWS A5.1 E7018 chemistry but does not include a...
25,✅ Success,,A WPQT root bend test specimen for a 2G pipe weld shows a 4.2 mm crack on the te...
26,✅ Success,,During a hydrostatic hold at 1.5× design pressure (test pressure 15 bar) for 10 ...
27,✅ Success,,Automated orbital GTAW of 316L SS tubing requires <20 ppm oxygen back-purge befo...
28,✅ Success,,A P91 girth weld cools to ambient temperature during a 35-minute safety evacuati...
29,✅ Success,,"An RT film of a pressure vessel shell seam (ASME VIII Div.1, 18 mm wall) shows a..."
30,✅ Success,,The WPS requires E7018-H4R electrodes. Incoming electrodes are E7018-H4 without ...
31,✅ Success,,"Weld Joint W-107 (DN50 nozzle-to-shell weld, ASME VIII Div.1) has no RT, UT, or ..."
32,✅ Success,,A pipe-to-pipe girth weld fit-up (ASME B31.3) shows internal misalignment of 2.0...
33,✅ Success,,Fifteen P22 welds were completed using an unapproved WPS over 6 days. The welds ...
34,✅ Success,,A PWHT soak record shows TC1–TC5 on the weld/HAZ at 720°C while TC6 on the base ...
35,✅ Success,,An RT film shows a density of 4.3 H&D. The procedure requires 1.8–4.0 H&D for Cl...
36,✅ Success,,A WPS for 9% Ni steel A333 Gr.8 cryogenic service at −196°C is proposed using a ...
37,✅ Success,,"After a hydrostatic test, a leak is found at W-55 — a weld that had been release..."
38,✅ Success,,A WIR for Weld W-88 was signed by an inspector whose CSWIP Level II certificatio...
39,✅ Success,,XRF of an E9018-B3 electrode coating shows Cr = 2.1%. The MTC specifies Cr = 2.2...
40,✅ Success,,A pre-weld full-penetration T-joint fit-up for structural steel shows: root open...
41,✅ Success,,A welder performing a 6G position SMAW weld at 220 A is using a shade No. 8 helm...
42,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,During routine QC surveillance you discover 15 P22 pipe spool welds were complet...
43,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"A QC audit reveals that 3 approved WPSs cover a fabrication shop, but 7 distinct..."
44,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A P91 pressure piping girth weld fails PWHT acceptance (HAZ hardness HV10 = 310 ...
45,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,During an electrode traceability audit of 50 E316L electrodes (MTC heat 2024-XYZ...
46,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An NDT subcontractor's Level II RT technician has been signing films for 3 weeks...
47,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A sour service pipeline project requires low-hydrogen process per SAES-W-011. Po...
48,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Welder continuity logs have not been maintained for 3 months at a vendor facilit...
49,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A WPS qualifies SMAW for P-No.1 carbon steel based on a 13 mm PQR test coupon. A...
50,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A 316L SS piping system for a seawater lift pump experiences weld HAZ cracking 1...
51,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"A PQR test for P91 pipe welding used a 25 mm coupon, but production requires wel..."
52,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A P5B 6G WPQT root bend fails. The supervisor claims the specimen was machined 3...
53,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the complete QC documentation package required to close out a single pr...
54,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,The contractor proposes local PWHT using flexible ceramic resistance pads for al...
55,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are auditing a welding subcontractor's filler material management system. De...
56,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A TOFD scan of a 40 mm thick pressure vessel seam shows a laterally diffracted s...
57,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A completed duplex SS 2205 pipe weld fails ferrite testing at 68 FN (project lim...
58,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ITP audit finds 100% of girth welds signed off by the contractor QC Inspector...
59,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Compare ASME B31.3 weld acceptance criteria for Normal Fluid Service vs. Severe ...
